,url,scheme,netloc,path,query,fragment,dir_1,dir_2,dir_3,dir_4,dir_5,last_dir,query_source,query_responsesOpen,query_sortBy,query_autoplay
1682,https://medium.com/bridget-webber-writes-mental-health-tips?source=user_profile---------8----------------------------,https,medium.com,/bridget-webber-writes-mental-health-tips,source=user_profile---------8----------------------------,,bridget-webber-writes-mental-health-tips,,,,,bridget-webber-writes-mental-health-tips,user_profile---------8----------------------------,,,
1683,https://barry4th.medium.com/?source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,https,barry4th.medium.com,/,source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,,,,,,,blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,,
1684,https://medium.com/@tim_stevens/following?source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,https,medium.com,/@tim_stevens/following,source=blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,@tim_stevens,following,,,,following,blogrolls_sidebar---two_column_layout_sidebar----------------------------------,,,
1685,https://medium.com/techrepublic-podcast?source=author_recirc-----aae065d5912d----2---------------------0e1e05b9_8cff_453d_94c0_558bc678887f-------,https,medium.com,/techrepublic-podcast,source=author_recirc-----aae065d5912d----2---------------------0e1e05b9_8cff_453d_94c0_558bc678887f-------,,techrepublic-podcast,,,,,techrepublic-podcast,author_recirc-----aae065d5912d----2---------------------0e1e05b9_8cff_453d_94c0_558bc678887f-------,,,
1686,https://medium.com/business?source=post_page-----aae065d5912d--------------------------------,https,medium.com,/business,source=post_page-----aae065d5912d--------------------------------,,business,,,,,business,post_page-----aae065d5912d--------------------------------,,,
1687,https://bridgetwebber.medium.com/followers?source=---two_column_layout_sidebar----------------------------------,https,bridgetwebber.medium.com,/followers,source=---two_column_layout_sidebar----------------------------------,,followers,,,,,followers,---two_column_layout_sidebar----------------------------------,,,
1688,https://medium.com/@suzanseline?source=user_following_list-------------------------------------,https,medium.com,/@suzanseline,source=user_following_list-------------------------------------,,@suzanseline,,,,,@suzanseline,user_following_list-------------------------------------,,,
1689,https://medium.com/bridget-webber-writes-mental-health-tips/positivity-boosters-10-sure-fire-ways-to-increase-happiness-cf4f330666a?source=user_profile---------8----------------------------,https,medium.com,/bridget-webber-writes-mental-health-tips/positivity-boosters-10-sure-fire-ways-to-increase-happiness-cf4f330666a,source=user_profile---------8----------------------------,,bridget-webber-writes-mental-health-tips,positivity-boosters-10-sure-fire-ways-to-increase-happiness-cf4f330666a,,,,positivity-boosters-10-sure-fire-ways-to-increase-happiness-cf4f330666a,user_profile---------8----------------------------,,,
1690,https://medium.com/@UnbecomingStories/10-seconds-that-ended-my-20-year-marriage-a6f367f02e53?responsesOpen=true&sortBy=REVERSE_CHRON&source=read_next_recirc-----d10053484db7----3---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,https,medium.com,/@UnbecomingStories/10-seconds-that-ended-my-20-year-marriage-a6f367f02e53,responsesOpen=true&sortBy=REVERSE_CHRON&source=read_next_recirc-----d10053484db7----3---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,,@UnbecomingStories,10-seconds-that-ended-my-20-year-marriage-a6f367f02e53,,,,10-seconds-that-ended-my-20-year-marriage-a6f367f02e53,read_next_recirc-----d10053484db7----3---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,true,REVERSE_CHRON,
1691,https://medium.com/the-ai-publishing-experiment/5-ways-im-using-ai-to-make-money-in-2023-28cfd2b4a76b?source=read_next_recirc-----d10053484db7----1---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,https,medium.com,/the-ai-publishing-experiment/5-ways-im-using-ai-to-make-money-in-2023-28cfd2b4a76b,source=read_next_recirc-----d10053484db7----1---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,,the-ai-publishing-experiment,5-ways-im-using-ai-to-make-money-in-2023-28cfd2b4a76b,,,,5-ways-im-using-ai-to-make-money-in-2023-28cfd2b4a76b,read_next_recirc-----d10053484db7----1---------------------648c756b_e7d3_4988_a623_ed1ad1ded712-------,,,
